S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1867,12/04/2020,Chhattisgarh,18,9,9,0
1868,13/04/2020,Chhattisgarh,31,21,10,0
1869,14/04/2020,Chhattisgarh,31,21,10,0
1870,15/04/2020,Chhattisgarh,33,20,13,0
1871,16/04/2020,Chhattisgarh,33,16,17,0
1872,17/04/2020,Chhattisgarh,33,10,23,0
1873,18/04/2020,Chhattisgarh,36,12,24,0
1874,19/04/2020,Chhattisgarh,36,12,24,0
1875,20/04/2020,Chhattisgarh,36,11,25,0
1876,21/04/2020,Chhattisgarh,36,11,25,0
1877,22/04/2020,Chhattisgarh,36,10,26,0
1878,23/04/2020,Chhattisgarh,36,10,26,0
1879,24/04/2020,Chhattisgarh,36,8,28,0
1880,25/04/2020,Chhattisgarh,36,6,30,0
1881,26/04/2020,Chhattisgarh,37,5,32,0
1882,27/04/2020,Chhattisgarh,37,5,32,0
1883,28/04/2020,Chhattisgarh,37,5,32,0
1884,29/04/2020,Chhattisgarh,38,4,34,0
1885,30/04/2020,Chhattisgarh,38,4,34,0
1886,01/05/2020,Chhattisgarh,40,4,36,0
1887,02/05/2020,Chhattisgarh,43,7,36,0
1888,03/05/2020,Chhattisgarh,43,7,36,0
1889,04/05/2020,Chhattisgarh,57,21,36,0
1890,05/05/2020,Chhattisgarh,58,22,36,0
1891,06/05/2020,Chhattisgarh,59,23,36,0
1892,07/05/2020,Chhattisgarh,59,23,36,0
1893,08/05/2020,Chhattisgarh,59,21,38,0
1894,09/05/2020,Chhattisgarh,59,21,38,0
1895,10/05/2020,Chhattisgarh,59,16,43,0
1896,11/05/2020,Chhattisgarh,59,10,49,0
1897,12/05/2020,Chhattisgarh,59,6,53,0
1898,13/05/2020,Chhattisgarh,59,5,54,0
1899,14/05/2020,Chhattisgarh,59,4,55,0
1900,15/05/2020,Chhattisgarh,60,4,56,0
1901,16/05/2020,Chhattisgarh,66,10,56,0
1902,17/05/2020,Chhattisgarh,67,11,56,0
1903,18/05/2020,Chhattisgarh,86,27,59,0
1904,19/05/2020,Chhattisgarh,93,34,59,0
1905,20/05/2020,Chhattisgarh,101,42,59,0
1906,21/05/2020,Chhattisgarh,115,56,59,0
1907,22/05/2020,Chhattisgarh,128,69,59,0
1908,23/05/2020,Chhattisgarh,172,110,62,0
1909,24/05/2020,Chhattisgarh,214,150,64,0
1910,25/05/2020,Chhattisgarh,252,185,67,0
1911,26/05/2020,Chhattisgarh,291,219,72,0
1912,27/05/2020,Chhattisgarh,361,282,79,0
1913,28/05/2020,Chhattisgarh,369,286,83,0
1914,29/05/2020,Chhattisgarh,399,316,83,0
1915,30/05/2020,Chhattisgarh,415,314,100,1
1916,31/05/2020,Chhattisgarh,447,344,102,1
1917,01/06/2020,Chhattisgarh,498,382,115,1
1918,02/06/2020,Chhattisgarh,547,424,122,1
1919,03/06/2020,Chhattisgarh,564,433,130,1
1920,04/06/2020,Chhattisgarh,668,478,188,2
1921,05/06/2020,Chhattisgarh,756,541,213,2
1922,06/06/2020,Chhattisgarh,879,633,244,2
1923,07/06/2020,Chhattisgarh,923,653,266,4
1924,08/06/2020,Chhattisgarh,1073,786,283,4
1925,09/06/2020,Chhattisgarh,1160,848,308,4
1926,10/06/2020,Chhattisgarh,1240,848,386,6
1927,11/06/2020,Chhattisgarh,1262,854,402,6
1928,12/06/2020,Chhattisgarh,1398,945,447,6
1929,13/06/2020,Chhattisgarh,1429,873,550,6
1930,14/06/2020,Chhattisgarh,1512,875,631,6
1931,15/06/2020,Chhattisgarh,1662,891,763,8
1932,16/06/2020,Chhattisgarh,1756,858,890,8
1933,17/06/2020,Chhattisgarh,1781,736,1036,9
1934,18/06/2020,Chhattisgarh,1864,674,1180,10
1935,19/06/2020,Chhattisgarh,1946,708,1228,10
1936,20/06/2020,Chhattisgarh,2028,687,1331,10
1937,21/06/2020,Chhattisgarh,2041,636,1394,11
1938,22/06/2020,Chhattisgarh,2275,817,1447,11
1939,23/06/2020,Chhattisgarh,2303,778,1513,12
1940,24/06/2020,Chhattisgarh,2362,797,1553,12
1941,25/06/2020,Chhattisgarh,2419,780,1627,12
1942,26/06/2020,Chhattisgarh,2452,685,1755,12
1943,27/06/2020,Chhattisgarh,2545,618,1914,13
1944,28/06/2020,Chhattisgarh,2545,618,1914,13
1945,29/06/2020,Chhattisgarh,2662,558,2091,13
1946,30/06/2020,Chhattisgarh,2761,575,2173,13
1947,01/07/2020,Chhattisgarh,2860,597,2250,13
1948,02/07/2020,Chhattisgarh,2940,623,2303,14
1949,03/07/2020,Chhattisgarh,3013,614,2385,14
1950,04/07/2020,Chhattisgarh,3065,614,2437,14
1951,05/07/2020,Chhattisgarh,3161,598,2549,14
1952,06/07/2020,Chhattisgarh,3207,592,2601,14
1953,07/07/2020,Chhattisgarh,3305,624,2667,14
1954,08/07/2020,Chhattisgarh,3415,650,2751,14
1955,09/07/2020,Chhattisgarh,3525,676,2835,14
1956,10/07/2020,Chhattisgarh,3675,757,2903,15
1957,11/07/2020,Chhattisgarh,3767,722,3028,17
1958,12/07/2020,Chhattisgarh,3897,810,3070,17
1959,13/07/2020,Chhattisgarh,4059,887,3153,19
1960,14/07/2020,Chhattisgarh,4217,996,3202,19
1961,15/07/2020,Chhattisgarh,4379,1084,3275,20
1962,16/07/2020,Chhattisgarh,4539,1195,3324,20
1963,17/07/2020,Chhattisgarh,4732,1260,3451,21
1964,18/07/2020,Chhattisgarh,4964,1429,3512,23
1965,19/07/2020,Chhattisgarh,5233,1551,3658,24
1966,20/07/2020,Chhattisgarh,5407,1608,3775,24
1967,21/07/2020,Chhattisgarh,5561,1592,3944,25
1968,22/07/2020,Chhattisgarh,5729,1586,4114,29
1969,23/07/2020,Chhattisgarh,5968,1709,4230,29
1970,24/07/2020,Chhattisgarh,6254,1847,4377,30
1971,25/07/2020,Chhattisgarh,6731,2128,4567,36
1972,26/07/2020,Chhattisgarh,7087,2365,4683,39
1973,27/07/2020,Chhattisgarh,7450,2463,4944,43
1974,28/07/2020,Chhattisgarh,7745,2529,5172,44
1975,29/07/2020,Chhattisgarh,8257,2772,5439,46
1976,30/07/2020,Chhattisgarh,8539,2855,5636,48
1977,31/07/2020,Chhattisgarh,8761,2789,5921,51
1978,01/08/2020,Chhattisgarh,9086,2803,6230,53
1979,02/08/2020,Chhattisgarh,9385,2720,6610,55
1980,03/08/2020,Chhattisgarh,9531,2482,6991,58
1981,04/08/2020,Chhattisgarh,9779,2462,7256,61
1982,05/08/2020,Chhattisgarh,10202,2520,7613,69
1983,06/08/2020,Chhattisgarh,10407,2465,7871,71
1984,07/08/2020,Chhattisgarh,10932,2767,8088,77
1985,08/08/2020,Chhattisgarh,11408,3002,8319,87
1986,09/08/2020,Chhattisgarh,11743,3072,8582,89
1987,10/08/2020,Chhattisgarh,12148,3243,8809,96
1988,11/08/2020,Chhattisgarh,12448,3336,9013,99
1989,12/08/2020,Chhattisgarh,12929,3586,9239,104
1990,13/08/2020,Chhattisgarh,13498,3881,9508,109
1991,14/08/2020,Chhattisgarh,13937,4165,9658,114
1992,15/08/2020,Chhattisgarh,14481,4494,9857,130
1993,16/08/2020,Chhattisgarh,14987,4807,10046,134
1994,17/08/2020,Chhattisgarh,15471,5095,10235,141
1995,18/08/2020,Chhattisgarh,16025,5277,10598,150
1996,19/08/2020,Chhattisgarh,16833,5828,10847,158
1997,20/08/2020,Chhattisgarh,17485,6139,11185,161
1998,21/08/2020,Chhattisgarh,18501,6594,11739,168
1999,22/08/2020,Chhattisgarh,19510,7308,12022,180
2000,23/08/2020,Chhattisgarh,20078,7495,12394,189
2001,24/08/2020,Chhattisgarh,20918,7790,12931,197
2002,25/08/2020,Chhattisgarh,22054,8424,13424,206
2003,26/08/2020,Chhattisgarh,23341,9388,13732,221
2004,27/08/2020,Chhattisgarh,24550,10174,14145,231
2005,28/08/2020,Chhattisgarh,25988,11136,14607,245
2006,29/08/2020,Chhattisgarh,27233,11873,15109,251
2007,30/08/2020,Chhattisgarh,28746,12666,15818,262
2008,31/08/2020,Chhattisgarh,30092,13520,16303,269
2009,01/09/2020,Chhattisgarh,31503,14237,16989,277
2010,02/09/2020,Chhattisgarh,33387,15533,17567,287
2011,03/09/2020,Chhattisgarh,35683,17164,18220,299
2012,04/09/2020,Chhattisgarh,37967,18702,18950,315
2013,05/09/2020,Chhattisgarh,40634,20672,19625,337
2014,06/09/2020,Chhattisgarh,43163,22320,20487,356
2015,07/09/2020,Chhattisgarh,45263,23685,21198,380
2016,08/09/2020,Chhattisgarh,47280,24708,22177,395
2017,09/09/2020,Chhattisgarh,50114,26915,22792,407
2018,10/09/2020,Chhattisgarh,52932,28041,24414,477
2019,11/09/2020,Chhattisgarh,55680,29332,25855,493
2020,12/09/2020,Chhattisgarh,58643,31001,27123,519
2021,13/09/2020,Chhattisgarh,61763,33246,27978,539
2022,14/09/2020,Chhattisgarh,63991,31505,31931,555
2023,15/09/2020,Chhattisgarh,67327,33645,33109,573
2024,16/09/2020,Chhattisgarh,70777,35909,34279,589
2025,17/09/2020,Chhattisgarh,73966,37470,35885,611
2026,18/09/2020,Chhattisgarh,77775,36036,41111,628
2027,19/09/2020,Chhattisgarh,81617,36580,44392,645
2028,20/09/2020,Chhattisgarh,84234,37489,46081,664
2029,21/09/2020,Chhattisgarh,86183,37853,47653,677
2030,22/09/2020,Chhattisgarh,88181,37927,49564,690
2031,23/09/2020,Chhattisgarh,90917,38198,52001,718
2032,24/09/2020,Chhattisgarh,93351,35850,56773,728
2033,25/09/2020,Chhattisgarh,95623,36038,58833,752
2034,26/09/2020,Chhattisgarh,98565,30928,66860,777
2035,27/09/2020,Chhattisgarh,102461,30689,70955,817
2036,28/09/2020,Chhattisgarh,104733,31661,72224,848
2037,29/09/2020,Chhattisgarh,108458,33044,74537,877
2038,30/09/2020,Chhattisgarh,110655,31225,78514,916
2039,01/10/2020,Chhattisgarh,113602,30927,81718,957
2040,02/10/2020,Chhattisgarh,116153,30468,84699,986
2041,03/10/2020,Chhattisgarh,118790,29693,88095,1002
2042,04/10/2020,Chhattisgarh,121400,29292,91077,1031
2043,05/10/2020,Chhattisgarh,123324,28548,93731,1045
2044,06/10/2020,Chhattisgarh,126005,27857,97067,1081
2045,07/10/2020,Chhattisgarh,128893,27238,100551,1104
2046,08/10/2020,Chhattisgarh,131739,26777,103828,1134
2047,09/10/2020,Chhattisgarh,134612,27427,106027,1158
2048,10/10/2020,Chhattisgarh,137570,27439,108935,1196
2049,11/10/2020,Chhattisgarh,140258,27369,111654,1235
2050,12/10/2020,Chhattisgarh,142372,27348,113771,1253
2051,13/10/2020,Chhattisgarh,145247,27421,116540,1286
2052,14/10/2020,Chhattisgarh,147866,27208,119352,1306
2053,15/10/2020,Chhattisgarh,150696,27809,121548,1339
2054,16/10/2020,Chhattisgarh,153515,28187,123943,1385
2055,17/10/2020,Chhattisgarh,155987,27693,126869,1425
2056,18/10/2020,Chhattisgarh,158502,27180,129883,1439
2057,19/10/2020,Chhattisgarh,160396,26750,132168,1478
2058,20/10/2020,Chhattisgarh,162772,25979,135259,1534
2059,21/10/2020,Chhattisgarh,165279,25709,137986,1584
2060,22/10/2020,Chhattisgarh,167639,25795,140216,1628
2061,23/10/2020,Chhattisgarh,170130,25238,143212,1680
2062,24/10/2020,Chhattisgarh,172580,24620,146222,1738
2063,25/10/2020,Chhattisgarh,174591,23899,148899,1793
2064,26/10/2020,Chhattisgarh,175959,23743,150398,1818
2065,27/10/2020,Chhattisgarh,177608,22093,153654,1861
2066,28/10/2020,Chhattisgarh,179654,21693,156080,1881
2067,29/10/2020,Chhattisgarh,181583,22167,157480,1936
2068,30/10/2020,Chhattisgarh,183588,22331,159268,1989
2069,31/10/2020,Chhattisgarh,185306,22350,160918,2038
2070,01/11/2020,Chhattisgarh,187270,22090,163079,2101
2071,02/11/2020,Chhattisgarh,188813,22126,164537,2150
2072,03/11/2020,Chhattisgarh,190513,21914,166391,2208
2073,04/11/2020,Chhattisgarh,192237,21770,168201,2266
2074,05/11/2020,Chhattisgarh,194499,22773,169410,2316
2075,06/11/2020,Chhattisgarh,196233,23113,170760,2360
2076,07/11/2020,Chhattisgarh,197991,23066,172513,2412
2077,08/11/2020,Chhattisgarh,199562,23256,173872,2434
2078,09/11/2020,Chhattisgarh,200937,22361,176129,2447
2079,10/11/2020,Chhattisgarh,202523,21221,178838,2464
2080,11/11/2020,Chhattisgarh,204202,20725,180995,2482
2081,12/11/2020,Chhattisgarh,205923,20226,183190,2507
2082,13/11/2020,Chhattisgarh,207740,20061,185152,2527
2083,14/11/2020,Chhattisgarh,209288,19221,187522,2545
2084,15/11/2020,Chhattisgarh,210004,19275,188167,2562
2085,16/11/2020,Chhattisgarh,210534,19087,188869,2578
2086,17/11/2020,Chhattisgarh,211644,18577,190463,2604
2087,18/11/2020,Chhattisgarh,213365,18561,192181,2623
2088,19/11/2020,Chhattisgarh,215413,18770,193997,2646
2089,20/11/2020,Chhattisgarh,217562,19421,195469,2672
2090,21/11/2020,Chhattisgarh,219404,19817,196896,2691
2091,22/11/2020,Chhattisgarh,221688,20659,198316,2713
2092,23/11/2020,Chhattisgarh,223436,21393,199311,2732
2093,24/11/2020,Chhattisgarh,225497,21926,200825,2746
2094,25/11/2020,Chhattisgarh,227326,22815,201744,2767
2095,26/11/2020,Chhattisgarh,229203,24676,201744,2783
2096,27/11/2020,Chhattisgarh,230956,23957,204198,2801
2097,28/11/2020,Chhattisgarh,232835,21839,208183,2813
2098,29/11/2020,Chhattisgarh,234725,20978,210917,2830
2099,30/11/2020,Chhattisgarh,235998,20641,212517,2840
2100,01/12/2020,Chhattisgarh,237322,19635,214826,2861
2101,02/12/2020,Chhattisgarh,239215,19333,216990,2892
2102,03/12/2020,Chhattisgarh,240863,19749,218195,2919
2103,04/12/2020,Chhattisgarh,242418,19300,220177,2941
2104,05/12/2020,Chhattisgarh,243997,19351,221690,2956
2105,06/12/2020,Chhattisgarh,245580,19533,223070,2977
2106,07/12/2020,Chhattisgarh,246809,20048,223772,2989
2107,08/12/2020,Chhattisgarh,248232,19589,225633,3010
2108,09/12/2020,Chhattisgarh,249699,19516,227158,3025
2109,10/12/2020,Chhattisgarh,251120,19778,228304,3038
2110,09/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2111,10/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2112,11/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2113,12/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2114,13/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2115,14/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2116,15/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2117,16/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2118,17/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2119,18/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2120,19/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2121,20/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2122,21/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2123,22/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2124,23/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2125,24/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2126,25/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2127,26/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2128,27/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2129,28/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2130,29/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2131,30/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2132,31/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2133,01/06/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2134,02/06/2020,Dadra and Nagar Haveli and Daman and Diu,3,2,1,0
2135,03/06/2020,Dadra and Nagar Haveli and Daman and Diu,4,3,1,0
2136,04/06/2020,Dadra and Nagar Haveli and Daman and Diu,8,7,1,0
2137,05/06/2020,Dadra and Nagar Haveli and Daman and Diu,12,11,1,0
2138,06/06/2020,Dadra and Nagar Haveli and Daman and Diu,14,13,1,0
2139,07/06/2020,Dadra and Nagar Haveli and Daman and Diu,19,18,1,0
2140,08/06/2020,Dadra and Nagar Haveli and Daman and Diu,20,18,2,0
2141,09/06/2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2,0
2142,10/06/2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2,0
2143,11/06/2020,Dadra and Nagar Haveli and Daman and Diu,28,26,2,0
2144,12/06/2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2,0
2145,13/06/2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2,0
2146,14/06/2020,Dadra and Nagar Haveli and Daman and Diu,35,33,2,0
2147,15/06/2020,Dadra and Nagar Haveli and Daman and Diu,36,34,2,0
2148,16/06/2020,Dadra and Nagar Haveli and Daman and Diu,36,31,5,0
2149,17/06/2020,Dadra and Nagar Haveli and Daman and Diu,45,36,9,0
2150,18/06/2020,Dadra and Nagar Haveli and Daman and Diu,57,45,12,0
2151,19/06/2020,Dadra and Nagar Haveli and Daman and Diu,58,45,13,0
2152,20/06/2020,Dadra and Nagar Haveli and Daman and Diu,62,48,14,0
2153,21/06/2020,Dadra and Nagar Haveli and Daman and Diu,68,42,26,0
2154,22/06/2020,Dadra and Nagar Haveli and Daman and Diu,88,62,26,0
2155,23/06/2020,Dadra and Nagar Haveli and Daman and Diu,91,64,27,0
2156,24/06/2020,Dadra and Nagar Haveli and Daman and Diu,120,91,29,0
2157,25/06/2020,Dadra and Nagar Haveli and Daman and Diu,120,90,30,0
2158,26/06/2020,Dadra and Nagar Haveli and Daman and Diu,155,123,32,0
2159,27/06/2020,Dadra and Nagar Haveli and Daman and Diu,163,122,41,0
2160,28/06/2020,Dadra and Nagar Haveli and Daman and Diu,177,122,55,0
2161,29/06/2020,Dadra and Nagar Haveli and Daman and Diu,178,118,60,0
2162,30/06/2020,Dadra and Nagar Haveli and Daman and Diu,203,126,77,0
2163,01/07/2020,Dadra and Nagar Haveli and Daman and Diu,213,131,82,0
2164,02/07/2020,Dadra and Nagar Haveli and Daman and Diu,215,129,86,0
2165,03/07/2020,Dadra and Nagar Haveli and Daman and Diu,230,141,89,0
2166,04/07/2020,Dadra and Nagar Haveli and Daman and Diu,257,161,96,0
2167,05/07/2020,Dadra and Nagar Haveli and Daman and Diu,271,175,96,0
2168,06/07/2020,Dadra and Nagar Haveli and Daman and Diu,271,165,106,0
2169,07/07/2020,Dadra and Nagar Haveli and Daman and Diu,297,183,114,0
2170,08/07/2020,Dadra and Nagar Haveli and Daman and Diu,405,222,183,0
2171,09/07/2020,Dadra and Nagar Haveli and Daman and Diu,408,224,184,0
2172,10/07/2020,Dadra and Nagar Haveli and Daman and Diu,411,222,189,0
2173,11/07/2020,Dadra and Nagar Haveli and Daman and Diu,459,248,211,0
2174,12/07/2020,Dadra and Nagar Haveli and Daman and Diu,471,245,226,0
2175,13/07/2020,Dadra and Nagar Haveli and Daman and Diu,479,234,245,0
2176,14/07/2020,Dadra and Nagar Haveli and Daman and Diu,495,226,268,1
2177,15/07/2020,Dadra and Nagar Haveli and Daman and Diu,520,209,310,1
2178,16/07/2020,Dadra and Nagar Haveli and Daman and Diu,539,180,357,2
2179,17/07/2020,Dadra and Nagar Haveli and Daman and Diu,552,179,371,2
2180,18/07/2020,Dadra and Nagar Haveli and Daman and Diu,585,182,401,2
2181,19/07/2020,Dadra and Nagar Haveli and Daman and Diu,602,186,414,2
2182,20/07/2020,Dadra and Nagar Haveli and Daman and Diu,605,189,414,2
2183,21/07/2020,Dadra and Nagar Haveli and Daman and Diu,684,234,448,2
2184,22/07/2020,Dadra and Nagar Haveli and Daman and Diu,705,240,463,2
2185,23/07/2020,Dadra and Nagar Haveli and Daman and Diu,733,257,474,2
2186,24/07/2020,Dadra and Nagar Haveli and Daman and Diu,770,279,489,2
2187,25/07/2020,Dadra and Nagar Haveli and Daman and Diu,815,301,512,2
2188,26/07/2020,Dadra and Nagar Haveli and Daman and Diu,860,328,530,2
2189,27/07/2020,Dadra and Nagar Haveli and Daman and Diu,914,362,550,2
2190,28/07/2020,Dadra and Nagar Haveli and Daman and Diu,946,380,564,2
2191,29/07/2020,Dadra and Nagar Haveli and Daman and Diu,982,384,596,2
2192,30/07/2020,Dadra and Nagar Haveli and Daman and Diu,1026,376,648,2
2193,31/07/2020,Dadra and Nagar Haveli and Daman and Diu,1064,394,668,2
2194,01/08/2020,Dadra and Nagar Haveli and Daman and Diu,1100,412,686,2
2195,02/08/2020,Dadra and Nagar Haveli and Daman and Diu,1145,418,725,2
2196,03/08/2020,Dadra and Nagar Haveli and Daman and Diu,1184,416,766,2
2197,04/08/2020,Dadra and Nagar Haveli and Daman and Diu,1274,412,860,2
2198,05/08/2020,Dadra and Nagar Haveli and Daman and Diu,1325,404,919,2
2199,06/08/2020,Dadra and Nagar Haveli and Daman and Diu,1366,404,960,2
2200,07/08/2020,Dadra and Nagar Haveli and Daman and Diu,1391,416,973,2
2201,08/08/2020,Dadra and Nagar Haveli and Daman and Diu,1437,421,1014,2
2202,09/08/2020,Dadra and Nagar Haveli and Daman and Diu,1456,417,1037,2
2203,10/08/2020,Dadra and Nagar Haveli and Daman and Diu,1564,441,1121,2
2204,11/08/2020,Dadra and Nagar Haveli and Daman and Diu,1613,444,1167,2
2205,12/08/2020,Dadra and Nagar Haveli and Daman and Diu,1653,442,1209,2
2206,13/08/2020,Dadra and Nagar Haveli and Daman and Diu,1696,446,1248,2
2207,14/08/2020,Dadra and Nagar Haveli and Daman and Diu,1752,458,1292,2
2208,15/08/2020,Dadra and Nagar Haveli and Daman and Diu,1797,464,1331,2
2209,16/08/2020,Dadra and Nagar Haveli and Daman and Diu,1843,457,1384,2
2210,17/08/2020,Dadra and Nagar Haveli and Daman and Diu,1878,445,1431,2
2211,18/08/2020,Dadra and Nagar Haveli and Daman and Diu,1908,447,1459,2
2212,19/08/2020,Dadra and Nagar Haveli and Daman and Diu,1951,425,1524,2
2213,20/08/2020,Dadra and Nagar Haveli and Daman and Diu,1995,389,1604,2
2214,21/08/2020,Dadra and Nagar Haveli and Daman and Diu,2030,401,1627,2
2215,22/08/2020,Dadra and Nagar Haveli and Daman and Diu,2082,428,1652,2
2216,23/08/2020,Dadra and Nagar Haveli and Daman and Diu,2120,416,1702,2
2217,24/08/2020,Dadra and Nagar Haveli and Daman and Diu,2161,406,1753,2
2218,25/08/2020,Dadra and Nagar Haveli and Daman and Diu,2181,393,1786,2
2219,26/08/2020,Dadra and Nagar Haveli and Daman and Diu,2203,381,1820,2
2220,27/08/2020,Dadra and Nagar Haveli and Daman and Diu,2228,364,1862,2
2221,28/08/2020,Dadra and Nagar Haveli and Daman and Diu,2266,348,1916,2
2222,29/08/2020,Dadra and Nagar Haveli and Daman and Diu,2290,328,1960,2
2223,30/08/2020,Dadra and Nagar Haveli and Daman and Diu,2306,306,1998,2
2224,31/08/2020,Dadra and Nagar Haveli and Daman and Diu,2340,296,2042,2
2225,01/09/2020,Dadra and Nagar Haveli and Daman and Diu,2367,284,2081,2
2226,02/09/2020,Dadra and Nagar Haveli and Daman and Diu,2386,262,2122,2
2227,03/09/2020,Dadra and Nagar Haveli and Daman and Diu,2435,292,2141,2
2228,04/09/2020,Dadra and Nagar Haveli and Daman and Diu,2450,294,2154,2
2229,05/09/2020,Dadra and Nagar Haveli and Daman and Diu,2467,285,2180,2
2230,06/09/2020,Dadra and Nagar Haveli and Daman and Diu,2537,301,2234,2
2231,07/09/2020,Dadra and Nagar Haveli and Daman and Diu,2575,302,2271,2
2232,08/09/2020,Dadra and Nagar Haveli and Daman and Diu,2590,297,2291,2
2233,09/09/2020,Dadra and Nagar Haveli and Daman and Diu,2617,294,2321,2
2234,10/09/2020,Dadra and Nagar Haveli and Daman and Diu,2643,295,2346,2
2235,11/09/2020,Dadra and Nagar Haveli and Daman and Diu,2671,294,2375,2
2236,12/09/2020,Dadra and Nagar Haveli and Daman and Diu,2695,280,2413,2
2237,13/09/2020,Dadra and Nagar Haveli and Daman and Diu,2725,279,2444,2
2238,14/09/2020,Dadra and Nagar Haveli and Daman and Diu,2745,255,2488,2
2239,15/09/2020,Dadra and Nagar Haveli and Daman and Diu,2763,248,2513,2
2240,16/09/2020,Dadra and Nagar Haveli and Daman and Diu,2783,229,2552,2
2241,17/09/2020,Dadra and Nagar Haveli and Daman and Diu,2810,233,2575,2
2242,18/09/2020,Dadra and Nagar Haveli and Daman and Diu,2831,221,2608,2
2243,19/09/2020,Dadra and Nagar Haveli and Daman and Diu,2859,218,2639,2
2244,20/09/2020,Dadra and Nagar Haveli and Daman and Diu,2887,208,2677,2
2245,21/09/2020,Dadra and Nagar Haveli and Daman and Diu,2924,229,2693,2
2246,22/09/2020,Dadra and Nagar Haveli and Daman and Diu,2933,220,2711,2
2247,23/09/2020,Dadra and Nagar Haveli and Daman and Diu,2944,198,2744,2
2248,24/09/2020,Dadra and Nagar Haveli and Daman and Diu,2962,205,2755,2
2249,25/09/2020,Dadra and Nagar Haveli and Daman and Diu,2977,190,2785,2
2250,26/09/2020,Dadra and Nagar Haveli and Daman and Diu,2989,182,2805,2
2251,27/09/2020,Dadra and Nagar Haveli and Daman and Diu,2996,163,2831,2
2252,28/09/2020,Dadra and Nagar Haveli and Daman and Diu,3002,152,2848,2
2253,29/09/2020,Dadra and Nagar Haveli and Daman and Diu,3012,133,2877,2
2254,30/09/2020,Dadra and Nagar Haveli and Daman and Diu,3032,120,2910,2
2255,01/10/2020,Dadra and Nagar Haveli and Daman and Diu,3040,109,2929,2
2256,02/10/2020,Dadra and Nagar Haveli and Daman and Diu,3054,113,2939,2
2257,03/10/2020,Dadra and Nagar Haveli and Daman and Diu,3061,100,2959,2
2258,04/10/2020,Dadra and Nagar Haveli and Daman and Diu,3070,101,2967,2
2259,05/10/2020,Dadra and Nagar Haveli and Daman and Diu,3087,105,2980,2
2260,06/10/2020,Dadra and Nagar Haveli and Daman and Diu,3092,99,2991,2
2261,07/10/2020,Dadra and Nagar Haveli and Daman and Diu,3103,101,3000,2
2262,08/10/2020,Dadra and Nagar Haveli and Daman and Diu,3120,108,3010,2
2263,09/10/2020,Dadra and Nagar Haveli and Daman and Diu,3132,105,3025,2
2264,10/10/2020,Dadra and Nagar Haveli and Daman and Diu,3140,101,3037,2
2265,11/10/2020,Dadra and Nagar Haveli and Daman and Diu,3152,100,3050,2
2266,12/10/2020,Dadra and Nagar Haveli and Daman and Diu,3163,102,3059,2
2267,13/10/2020,Dadra and Nagar Haveli and Daman and Diu,3168,102,3064,2
2268,14/10/2020,Dadra and Nagar Haveli and Daman and Diu,3168,85,3081,2
2269,15/10/2020,Dadra and Nagar Haveli and Daman and Diu,3171,79,3090,2
2270,16/10/2020,Dadra and Nagar Haveli and Daman and Diu,3172,71,3099,2
2271,17/10/2020,Dadra and Nagar Haveli and Daman and Diu,3177,66,3109,2
2272,18/10/2020,Dadra and Nagar Haveli and Daman and Diu,3180,59,3119,2
2273,19/10/2020,Dadra and Nagar Haveli and Daman and Diu,3183,54,3127,2
2274,20/10/2020,Dadra and Nagar Haveli and Daman and Diu,3185,43,3140,2
2275,21/10/2020,Dadra and Nagar Haveli and Daman and Diu,3194,39,3153,2
